"id";"meal_date";"meal_image";"meal_name";"meal_type"
1;"2025-04-01";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Pancakes";"Breakfast"
2;"2025-04-01";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Grilled Chicken Salad";"Lunch"
3;"2025-04-01";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Fruit Bowl";"Snack"
4;"2025-04-01";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Pasta Alfredo";"Dinner"
5;"2025-04-02";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Omelette";"Breakfast"
6;"2025-04-02";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Veggie Wrap";"Lunch"
7;"2025-04-02";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Granola Bar";"Snack"
8;"2025-04-02";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Steak with Mashed Potatoes";"Dinner"
9;"2025-04-03";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Toast with Avocado";"Breakfast"
10;"2025-04-03";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Chicken Curry";"Lunch"
11;"2025-04-03";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Smoothie";"Snack"
12;"2025-04-03";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Vegetable Stir-Fry";"Dinner"
13;"2025-04-04";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Toast with Avocado";"Breakfast"
14;"2025-04-04";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Grilled Fish with Rice";"Lunch"
15;"2025-04-04";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Chips and Salsa";"Snack"
16;"2025-04-04";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Chicken Biryani";"Dinner"
17;"2025-04-05";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Waffles";"Breakfast"
18;"2025-04-05";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Pasta Primavera";"Lunch"
19;"2025-04-05";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Yogurt Parfait";"Snack"
20;"2025-04-05";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Lamb Curry";"Dinner"
21;"2025-04-06";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Granola with Milk";"Breakfast"
22;"2025-04-06";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Burger with Fries";"Lunch"
23;"2025-04-06";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Fruit Smoothie";"Snack"
24;"2025-04-06";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Beef Stew";"Dinner"
25;"2025-04-07";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Poached Eggs";"Breakfast"
26;"2025-04-07";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Chicken Salad Wrap";"Lunch"
27;"2025-04-07";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Nuts and Raisins";"Snack"
28;"2025-04-07";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Sushi Rolls";"Dinner"
29;"2025-04-08";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"French Toast";"Breakfast"
30;"2025-04-08";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Grilled Veggie Sandwich";"Lunch"
31;"2025-04-08";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Apple Slices with Peanut Butter";"Snack"
32;"2025-04-08";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Spaghetti Bolognese";"Dinner"
33;"2025-04-09";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Blueberry Muffins";"Breakfast"
34;"2025-04-09";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Caesar Salad";"Lunch"
35;"2025-04-09";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Cheese Crackers";"Snack"
36;"2025-04-09";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Grilled Salmon";"Dinner"
37;"2025-04-10";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Scrambled Eggs";"Breakfast"
38;"2025-04-10";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Chickpea Curry";"Lunch"
39;"2025-04-10";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Banana Bread";"Snack"
40;"2025-04-10";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Roast Chicken";"Dinner"
41;"2025-04-11";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Toast with Jam";"Breakfast"
42;"2025-04-11";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Mexican Burrito";"Lunch"
43;"2025-04-11";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Popcorn";"Snack"
44;"2025-04-11";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Beef Tacos";"Dinner"
45;"2025-04-12";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Oatmeal with Honey";"Breakfast"
46;"2025-04-12";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Pizza";"Lunch"
47;"2025-04-12";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Trail Mix";"Snack"
48;"2025-04-12";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Vegetarian Lasagna";"Dinner"
49;"2025-04-13";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Porridge";"Breakfast"
50;"2025-04-13";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Quinoa Bowl";"Lunch"
51;"2025-04-13";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Peanut Butter Cookies";"Snack"
52;"2025-04-13";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Thai Green Curry";"Dinner"
53;"2025-04-14";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Pancakes with Maple Syrup";"Breakfast"
54;"2025-04-14";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Chicken Caesar Salad";"Lunch"
55;"2025-04-14";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Greek Yogurt with Honey";"Snack"
56;"2025-04-14";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Mediterranean Grilled Chicken";"Dinner"
57;"2025-04-15";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Avocado Toast";"Breakfast"
58;"2025-04-15";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Tuna Sandwich";"Lunch"
59;"2025-04-15";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Trail Mix";"Snack"
60;"2025-04-15";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Beef Lasagna";"Dinner"
61;"2025-04-16";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Scrambled Eggs with Toast";"Breakfast"
62;"2025-04-16";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Vegetable Stir-Fry";"Lunch"
63;"2025-04-16";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Apple and Cheese Slices";"Snack"
64;"2025-04-16";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Butter Chicken with Naan";"Dinner"
65;"2025-04-17";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"French Toast";"Breakfast"
66;"2025-04-17";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Vegetarian Burrito";"Lunch"
67;"2025-04-17";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Popcorn";"Snack"
68;"2025-04-17";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Fried Rice";"Dinner"
69;"2025-04-18";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Waffles";"Breakfast"
70;"2025-04-18";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Grilled Chicken Wrap";"Lunch"
71;"2025-04-18";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Granola Bars";"Snack"
72;"2025-04-18";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Vegetable Curry";"Dinner"
73;"2025-04-19";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Fruit Salad";"Breakfast"
74;"2025-04-19";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Spaghetti Carbonara";"Lunch"
75;"2025-04-19";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Banana Chips";"Snack"
76;"2025-04-19";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Grilled Salmon";"Dinner"
77;"2025-04-20";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Chocolate Pancakes";"Breakfast"
78;"2025-04-20";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Chicken Alfredo Pasta";"Lunch"
79;"2025-04-20";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Peanut Butter Sandwich";"Snack"
80;"2025-04-20";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Lamb Stew";"Dinner"
81;"2025-04-21";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Oatmeal with Cinnamon";"Breakfast"
82;"2025-04-21";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"BBQ Chicken Pizza";"Lunch"
83;"2025-04-21";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Energy Bar";"Snack"
84;"2025-04-21";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Grilled Steak";"Dinner"
85;"2025-04-22";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Eggs Benedict";"Breakfast"
86;"2025-04-22";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Falafel Wrap";"Lunch"
87;"2025-04-22";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Mixed Nuts";"Snack"
88;"2025-04-22";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Seafood Paella";"Dinner"
89;"2025-04-23";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Banana Smoothie";"Breakfast"
90;"2025-04-23";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Tandoori Chicken";"Lunch"
91;"2025-04-23";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Carrot Sticks with Hummus";"Snack"
92;"2025-04-23";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Miso Soup with Rice";"Dinner"
93;"2025-04-24";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Toast with Scrambled Eggs";"Breakfast"
94;"2025-04-24";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Lentil Soup";"Lunch"
95;"2025-04-24";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Berries with Cream";"Snack"
96;"2025-04-24";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Shrimp Tacos";"Dinner"
97;"2025-04-25";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Chia Pudding";"Breakfast"
98;"2025-04-25";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Veggie Burger";"Lunch"
99;"2025-04-25";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Dark Chocolate";"Snack"
100;"2025-04-25";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Pho Noodles";"Dinner"
101;"2025-04-26";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Croissant with Coffee";"Breakfast"
102;"2025-04-26";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Club Sandwich";"Lunch"
103;"2025-04-26";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Grapes";"Snack"
104;"2025-04-26";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Stuffed Bell Peppers";"Dinner"
105;"2025-04-27";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Bagel with Cream Cheese";"Breakfast"
106;"2025-04-27";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Penne Pasta";"Lunch"
107;"2025-04-27";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Mango Slices";"Snack"
108;"2025-04-27";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Chicken Pot Pie";"Dinner"
109;"2025-04-28";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Porridge with Nuts";"Breakfast"
110;"2025-04-28";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Chili Con Carne";"Lunch"
111;"2025-04-28";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Celery with Dip";"Snack"
112;"2025-04-28";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Ratatouille";"Dinner"
113;"2025-04-29";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Cereal with Milk";"Breakfast"
114;"2025-04-29";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Margarita Pizza";"Lunch"
115;"2025-04-29";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Biscotti";"Snack"
116;"2025-04-29";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Lamb Chops";"Dinner"
117;"2025-04-30";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"English Muffins";"Breakfast"
118;"2025-04-30";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Stuffed Zucchini";"Lunch"
119;"2025-04-30";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Protein Shake";"Snack"
120;"2025-04-30";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Risotto";"Dinner"
